razon_social,nombre_corto,rut,contacto_y_direccion,comuna,telefonos,correo_principal,correos_adicionales,categoria,resolucion
QUINTRIQUEO INMOBILIARIA LIMITADA,MINGA LTDA,76.317.126-4,"Angélica María Quintriqueo Lincopí Almirante Pastene N°185, Oficina 310",Providencia,975574830 / 930034929 / 948669333,entidadpatrocinanteminga@gmail.com,mingainmobiliaria@gmail.com,SEGUNDA,1459 / 15-05-2017
EVOLUTIVA VIVIENDA ENTIDAD PATROCINANTE Y CONSULTORA DE VIVIENDA Y URBANISMO SPA,EVOLUTIVA VIVIENDA SPA,76.404.217-4,Natalia Muñoz Requena Calle Ministro Carvajal N° 27,Providencia,962091278 / 977613147 / 931185461,ep.evolutiva@gmail.com,marcelo@cosmelli.cl / natalia.munozrequena@gmail.com,PRIMERA,2132 / 17-07-2017
EMPRESA DE GESTION Y PROYECTOS HABITACIONALES CIUDAD URBANA LIMITADA,CIUDAD URBANA LTDA.,76.427.838-0,Evelyn Villegas Barraza Calle Islandia N°861,San Miguel,232318560 / 978793779,evciudadurbana@gmail.com,,PRIMERA,2553 / 04-09-2017
INMOBILIARIA MAHUEN LIMITADA,INMOBILIARIA MAHUEN LTDA,76.419.155-2,"Juan Miguel Villegas Astudillo Gran Av. José Miguel Carrera N° 11.356, Depto. A",El Bosque,225072458 / 996183782,juan.mahuen@gmail.com,inmobiliariamahuen@gmail.com,TERCERA,2438 / 23-08-2017
ENTIDAD ORGANIZADORA Y CONSULTORA QUINTAY LIMITADA,CONSULTORA QUINTAY LTDA.,76.417.014-8,Dafne Renée Jarpa Lagos/Alicia Ximena Capricoli Zambrano Calle Pedro Subercaseaux N° 3095,Pedro Aguirre Cerda,232669197,consultoraquintayltda@gmail.com,guillermo@microcontrol.cl,TERCERA,2557 / 04-09-2017
RUKANTU LIMITADA,RUKANTU LTDA.,76.436.127-K,Felipe Salgado Diez Calle Los Corconeles N° 6806,La Reina,228392009 / 974992487,rukantu.spa@gmail.com,fsalgadodiez@gmail.com,TERCERA,2853 / 13-10-2017
CONSOLIDA SPA,,76.398.484-2,Gabriel Lagos Dittborn Avda. Jose Arrieta N° 5821,Peñalolén,222224442 / 9764489317,contacto@consolida.cl,,TERCERA,2266 / 24-07-2018
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL GIRASOL LIMITADA,EGIS GIRASOL LTDA.,76.571.734-5,Mariela Valverde Fuentes Rancagua N° 0157 Of 403,Providencia,233075239,egisgirasolltda@gmail.com,,PRIMERA,1263 / 20-04-2018
INMOBILIARIA Y CONSULTORA SOCIAL DESARROLLA FUTURO SPA,DESARROLLA FUTURO SPA,76.501.997-4,"Alexis Díaz Soto Av. Libertador Bernardo O´Higgins N° 4.050, Of N° 1.008",Estación Central,232450753 / 931952864,diazsotoalexis@gmail.com,desarrollafuturo@gmail.com,SEGUNDA,1245 / 19-04-2018
SOCIEDAD URBANA METROPOLITANA SPA,SOCIEDAD SUM SPA,76.532.403-3,Solange Saldías Vergara Los Nogales N°2735 (Entrada Por Calle Parque),La Pintana,998856278 / 975930754,entidadpatrocinantesum@gmail.com,entidadpatrocinante@gmail.com / secretaria.epsum@gmail.com,SEGUNDA,1025 / 09-03-2018
PRO VIVIENDA SPA,,76.594.394-9,Alfredo Cristian Cornejo Peña Pasaje Rosa Rodriguez N°1375 Of 216,Santiago,222949851 / 232825231 / 987086807,cornejo_alfredo@yahoo.com,egisprovivienda@gmail.com,PRIMERA,429 / 26-02-2020
VS INTEGRA SPA,VSI SPA,76.532.469-6,Hernan Jara Lara Camino Maipo A Viluco N°1.805 Loteo 77,Buin,228463205 / 942390397 / 935431360,administracion@vsintegra.cl,dvera@vsintegra.cl / vsintegraspa@gmail.com,TERCERA,1322 / 30-04-2018
MANQUEHUE CONSULTORA DE VIVIENDAS SOCIALES LIMITADA,MANQUEHUE EP LTDA.,76.573.787-7,Eduardo Tobar-Karen Espinoza Rios Calle Folclorista Oreste Plath N°146 Villa Carlos Droguett,Talagante,963730002,pamela@manquehueconsultora.cl,,PRIMERA,2850 / 13-10-2017
SOCIEDAD INMOBILIARIA RUNTIME LIMITADA,RUNTIME LTDA.,76.560.947-K,"Iván Gabriel Ulloa Díaz Calle Bombero Ossa N° 1010, Oficina N° 206",Santiago,986699631 / 986698299,ivanulloa.runtime@gmail.com,fabiola.runtime@gmail.com / run.timeltda@gmail.com,SEGUNDA,1649 / 31-05-2018
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL METROPOLITANA SUR COMPAÑÍA LIMITADA,EGIS METROPOLITANA SUR LTDA. METROPOLITANA SUR LTDA.,76.125.035-3,Alexis Alejandro Herrera Pereira Avda. Raúl Silva Henriquez N°6656,La Granja,232556527 / 984798249 / 993447651,Egismetropolitanasur@gmail.com,contacto@egisms.cl,TERCERA,1258 / 20-04-2018
DEMO ENTIDAD PATROCINANTE SPA,DEMO EP SPA,76.536.688-7,Carolina Rojas Maldonado Calle Volcán Lascar Oriente N° 721,Pudahuel,226019882 / 932451921 / 974510923,mconte@democorp.com,crojas@democorp.com,PRIMERA,3298 / 13-11-2018
GESTION INMOBILIARIA ALESSANDRI LIMITADA,CRECIENDO JUNTOS LIMITADA,76.528.716-2,María Ximena Alessandri Pérez￾Cotapos Av. Libertador Bernardo O'Higgins N° 2205,Santiago,226993827 / 226465991 / 971355658,talessandri@miuandes.cl,,TERCERA,2947 / 14-10-2016
CONSTRUCTORA SEPHER LIMITADA,SEPHER LIMITADA,76.543.596-K,Catalina Michel Hernández Farías Concha Y Toro N°17-A,Santiago,225437847 / 983824338 / 968324434,sepher.limitada@gmail.com,,SEGUNDA,2945 / 14-10-2016
ENTIDAD PATROCINANTE CREA TU FUTURO SPA,,76.636.403-9,"Alfonso Raúl Alexis Castro Rodríguez Calle Lord Cochrane N° 30, Oficina N° 307",Santiago,965041414,coordinadoracreatufuturospa@gmail.com,a.alexis.castro@gmail.com / creatufuturospa@gmail.com,PRIMERA,2948 / 14-10-2016
ASESORÍAS CANAHUE LIMITADA,CANAHUE LTDA.,76.637.099-3,Pablo Andrés Ramírez Paredes Calle Hamburgo N° 1371,Ñuñoa,228139484 / 954224378 / 984945576,canahueltda@gmail.com,beapulgar@gmail.com / pabloramirez.737@gmail.com,PRIMERA,2943 / 14-10-2016
CONSULTORA TECNOVIVIENDA LIMITADA,TECNOVIVIENDA LIMITADA,76.634.226-4,Raúl Alberto Cancino Carrasco Monjitas 527 Of 1216,Santiago,232246446 / 966063539,raulcancinotecnovivienda@gmail.com,consultoratecnovivienda@gmail.com,PRIMERA,2949 / 14-10-2016
INMOBILIARIA MAGIS SPA,,76.614.699-6,Luis Ángel Orrego Molina Eliodoro Yañez 2876 Of 401,Providencia,944061980,magis.central@gmail.com,magis.luisorrego@gmail.com,TERCERA,2946 / 14-10-2016
SANCAL GESTIÓN INMOBILIARIA LIMITADA,SANCAL LIMITADA,76.510.242-1,Johanna Hetch Quiroz Avda. Irarrazaval N°2821 Of 917,Ñuñoa,959046369 / 229932817 / 222298474,contacto@sancalinmobiliaria.cl,calderonsantos@gmail.com,TERCERA,2956 / 14-10-2016
FABIÁN BARAHONA ENTIDAD PATROCINANTE Y PROYECTOS DE ARQUITECTURA DE DESARROLLO SOCIAL E.I.R.L.,EGIS DINAMIZA E.I.R.L.,76.445.542-8,"Fabián Ignacio Barahona Díaz Av. Nueva Providencia N° 1881, Of N° 520",Providencia,227533604 / 996490513,fabian.egis.chile@gmail.com,egis.dinamiza@gmail.com,TERCERA,3128 / 25-11-2016
PSAT INTEGRA SPA,,76.648.633-9,"Jorge Ignacio Gamboa Suárez Calle Merced N°838-A, Oficina 145",Santiago,989721218 / 987426765 / 941425899,b.tapia@s-ge.cl,j.gamboa@s-ge.cl / psat.integra@gmail.com,PRIMERA,256 / 02-02-2017
SOCIEDAD NYC SPA,NYC ENTIDAD PATROCINANTE SPA,76.530.773-2,"Yolanda Estela Del Carmen Navarrete Benavides Calle París N° 834, Oficina N° 307",Santiago,232270238 / 982880643,entidad.nyc@gmail.com,,TERCERA,718 / 21-02-2017
MUNICIPALIDAD DE TALAGANTE,,69.071.800-6,Maria Carolina Navarro Av. Balmaceda N° 584,Talagante,225989200 / 225989304 / 225389305,viviendaentorno@gmail.com,cdalvarez@yahoo.com,ÚNICA,699 / 20-02-2017
CONSULTORA & GESTIÓN INMOBILIARIA ALIWEN SPA,,76.664.858-4,Jonathan Andrés Donoso Herrera El Quisco N°156,Puente Alto,229824189 / 939236600,adonoso@aliwenconsultora.cl,gerencia@aliwenconsultora.cl,TERCERA,702 / 20-02-2017
QUEIROLO CRUCHAGA LIMITADA,QL LIMITADA,76.668.501-3,Fernando Queirolo Orellana Calle Rojas Magallanes N°438-D,La Florida,222335508 / 973799429,fqueirolo@gestionql.cl,mlozano@gestionql.cl / contacto@gestionql.cl,PRIMERA,700 / 20-02-2017
SOCIEDAD INMOBILIARIA CHILE PROYECCIÓN LIMITADA,CHILE PROYECCIÓN LTDA.,76.669.926-K,"Manuel Andrés Guajardo Valenzuela Camino Lonquén Sitio N° 14, Sector San Ignacio, Paradero 12 1/2",Calera De Tango,232350424 / 988125400,mgv2k1@gmail.com,,TERCERA,701 / 20-02-2017
CONSULTORA DE VIVIENDA Y URBANISMO ALBORADA SPA,,76.718.487-5,Karla Rosita De Jesús Roa Umaña Eleodoro Yañez N°2876,Providencia,228125996,alborada.central@gmail.com,kroau@gmail.com,PRIMERA,1834 / 15-06-2017
"DOUGLAS BANNURA VARGAS, GESTIÓN INMOBILIARIA E.I.R.L",INMOBILIARIA DABV E.I.R.L.,76.730.388-2,"Douglas Alberto Bannura Vargas Av. Santa Rosa N° 17, Oficina N° 61",Santiago,232450617 / 955192549,inmobiliariadabv@gmail.com,douglasbannura@yahoo.com / rbueno.idabv@gmail.com,TERCERA,2137 / 17-07-2017
ENTIDAD PATROCINANTE PAULINA DE LOURDES MORALES CARRASCO E.I.R.L.,ENTIDAD PATROCINANTE PMC E.I.R.L.,76.730.366-1,Paulina De Lourdes Morales Carrasco Calle Barrales N° 565,Melipilla,228320132 / 991609171,entidadpatrocinante.pmc@gmail.com,,TERCERA,2246 / 31-07-2017
MUNICIPALIDAD DE RENCA,,69.071.200-8,Lorena Nuñez Silva Dario Oyarzun Hermosilla Av. Blanco Encalada Nº 1335,Renca,226856667 / 226856640 / 98646794,dario.oyarzun@renca.cl,rbacigalupo@renca.cl / vivienda@renca.cl,ÚNICA,2245 / 31-07-2017
MUNICIPALIDAD DE PEÑAFLOR,,69.071.700-K,Francisco Reyes Van Bebber Doctor Prado Tagle N° 237,Peñaflor,443678433 / 992918709 / 953634256,entidad.patrocinante@penaflor.cl,francisco.reyes@penaflor.cl,ÚNICA,2358 / 10-08-2017
GESTIÓN Y PROYECTOS INMOBILIARIOS BORDE SUR SPA,BORDE SUR SPA,76.738.472-6,Esthefanie Briones Calle Islandia N°871,San Miguel,232313921 / 944396869 / 983347950,bordesurarq@gmail.com,ebbarq@gmail.com,SEGUNDA,2362 / 10-08-2017
COOPERATIVA DE VIVIENDA COOPVITAL,,65.109.837-8,Silvia Matilde Torres Gonzalez Calle Esmeralda N° 1051,Talagante,227277285,casavital.1051@gmail.com,,TERCERA,2669 / 26-09-2017
GESTIÓN INMOBILIARIA SANTIAGO SPA,EGIS SANTIAGO SPA,76.752.005-0,Carolina Lara Gutierrez Calle Catedral N°1009 Oficina 504,Santiago,967284257 / 2233472573 / 233472573,egis.santiago@gmail.com,carolina.psatsantiago@gmail.com,PRIMERA,2733 / 03-10-2017
NUEVA ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL SPA,,76.764.231-8,"Miguel Angel Nuñez Chandía Calle Estado N°115, Oficina 1208",Santiago,974316014 / 2232243952,12miguel1910@gmail.com,,TERCERA,2883 / 16-10-2017
ENTIDAD PATROCINANTE Y CONSULTORA DE VIVIENDAS Y URBANISMO HÁBITAT RESIDENCIAL SPA,EP Y CONSULTORA DE VIVIENDAS Y URBANISMO HÁBITAT RESIDENCIAL SPA,76.761.106-4,Paula Mora Rodas N° 7179,Cerro Navia,940585123,pmora.ephabitatresidencial@gmail.com,cdelvalle.ephabitatresidencial@gmail.com,TERCERA,3273 / 28-11-2017
AVANCE URBANO SpA,,76.633.659-0,Carlos Mauricio Catalán Quintanilla Calle Dominica N°404 Depto. 2004,Recoleta,225133137,avanceurbano2011@gmail.com,carloscatalanq@gmail.com,TERCERA,3274 / 28-11-2017
ASESORÍAS P AL CUBO LIMITADA,P AL CUBO LIMITADA,76.797.831-6,Ainohan Peña Salazar Matias Cousiño N°82 Oficina 1104,Santiago,229798257 / 934553334 / 975787867,p.alcuboarquitectura@gmail.com,p.alcubosocial@gmail.com,PRIMERA,493 / 08-02-2018
EMPRESA DE DESARROLLO Y ORGANIZACIÓN SOCIAL SPA,EDOS SPA,76.780.304-4,"Alejandra Fuentes Pobleta Jose Miguel De La Barra N°536, Piso 7",Santiago,954214248,edosspa@gmail.com,,PRIMERA,696 / 20-02-2018
EGIS RED SOCIAL LIMITADA,EGIS RED SOCIAL LTDA.,76.491.592-5,"Andres Ivan Rojo Sariego Calle Guardia Vieja N°202, Of 502",Providencia,227598000 / 990011569,andres71rojo@gmail.com,,TERCERA,728 / 20-02-2018
MUNICIPALIDAD DE CONCHALI,,69.070.200-2,Rene De La Vega Alejandra Gonzalez Francisca Rivera Independecia 3499,Conchalí,228286103,alejandra.gonzalez@conchali.cl,gabinete@conchali.cl,ÚNICA,934 / 08-03-2018
SOCIEDAD INMOBILIARIA NEW HELP SPA,,76.817.965-4,Brando Alexander Lara Olave Calle San Jose N°115,Maipú,232336755 / 956149064 / 940296372,info@newhelp.cl,,TERCERA,931 / 08-03-2018
INMOBILIARIA GESTIONA FACIL SPA,GESTIONA FACIL SPA,76.830.635-4,"Andrea Gonzalez Calle Morande N° 835, Oficina N° 1106",Santiago,26456089 / 942491036,gestionafacilspa@gmail.com,,PRIMERA,1252 / 20-04-2018
CONSULTORA E INMOBILIARIA HOGAR SPA,HOGAR SPA,76.834.891-K,"Cristian Lecaros Villarroel Camino La Estrella Sitio 2, Lote 4, Huelquen",Paine,992326777,cristian.lecaros@gmail.com,,SEGUNDA,1243 / 19-04-2018
INMOBILIARIA ALCABRINA SPA,,76.813.368-9,"Alejandra Bozo Tamayo - Brigadier Acevedo Cordova Camino Padre Hurtado Sitio C-2, Localidad De Huelquen",Paine,222598253 / 983405881,alcabrina@gmail.com,,TERCERA,1257 / 20-04-2018
RENUEVA ARQUITECTOS SPA,RENUEVA SPA,76.844.756-K,"Angela Silva Santelices Calle Compañía N° 2540, Oficina N°101",Santiago,999976322,renueva.arquitectos@gmail.com,,TERCERA,1845 / 20-06-2018
EGIS PSAT COMUNIDAD Y BARRIO SPA,,76.854.148-5,Carolina Encina Fuentes Pasaje Cerro Hierbas Buenas N°4503,Isla De Maipo,995413109 / 225266244,epcomunidadybarrio@gmail.com,,TERCERA,2127 / 17-07-2018
JUAN MANUEL SILVA GÓMEZ ENTIDAD DE ASISTENCIA TÉCNICA E.I.R.L,,76.853.108-0,"Juan Manuel Silva Gómez Av. Tobalaba N° 10.125 G, Block 34, Depto 12",Peñalolén,223007084,jmsilva.g89@gmail.com,maria.canio92@gmail.com / ocampojota@gmail.com,TERCERA,2263 / 24-07-2018
PROACTIVA CHILE SPA,PROACTIVA SPA,76.876.172-8,"Ximena León Gaule Avda. Ossa N° 180, Oficina B",Ñuñoa,233420612,administracion@proactiva-chile.cl,,SEGUNDA,2404 / 07-08-2018
DRYCONING S.A.,,76.143.109-9,"Juan Manuel Silva Av. Los Leones N° 1727, Oficina N° 201",Providencia,222050348,vsanmartin@dryconing.cl,pdeocares@dryconing.cl / psat@dryconing.cl,TERCERA,2415 / 08-08-2018
CONSULTORA S&M LIMITADA,,76.817.401-6,Mario Suffiotti Av. Simón Bolívar N° 3741-A,Ñuñoa,232273500 / 942557042,cgsuffiotti@gmail.com,,TERCERA,866 / 05-03-2018
ORGANIZACIÓN DE DESARROLLO URBANO LIMITADA,,76.898.813-7,Ana María Yáñez López Calle Futrono N°190 San Jaoquin,,229202420 / 224165914,organizaciondedesarrollourbano@gmail.com,,TERCERA,3099 / 23-10-2018
CONSULTORA OIKOS SPA,,76.898.802-1,"Nicolas Francisco Riquelme Vera Avda. San Miguel N°418, Villa Los Ediles",El Monte,937489809 / 443075236,consultora.oikos.spa@gmail.com,,TERCERA,3301 / 13-11-2018
PRESTADOR DE SERVICIOS DE ASISTENCIA TECNICA INNOVA SPA,PSAT INNOVA SPA,76.906.744-2,"Evelyn Norma Toro Tapia San Martin #347, Oficina 209 A",Buin,232481309,psat.innova@gmail.com,,SEGUNDA,3297 / 13-11-2018
LMF GESTION INMOBILIARIA SPA,LMF GESTION INMOBILIARIA SPA,76.892.262-4,"Yhara Hizmeri Pizarro Pje. Tongoy N° 0222, Villa Andes Del Sur",Puente Alto,232476600 / 989711759 / 944670782,imfgestiony@gmail.com,lmfgestioninmobiliaria@gmail.com,TERCERA,3300 / 13-11-2018
MUNICIPALIDAD DE PROVIDENCIA,,69.070.300-9,Carolina Faundez Zapata Vania Ciudad Pedro De Valdivia N° 963,Providencia,226543392 / 226543029,psatmunicipal@providencia.cl,,ÚNICA,3299 / 13-11-2018
SOCIEDAD DE SERVICIOS GESTION SOCIAL CONSULTORA SPA,,76.161.125-9,Yessica Del Carmen Cespedes Contreras Calle Vargas N° 399,Melipilla,227938574 / 990689121,yessicacontreras@gmail.com,consultoragestionsocial1@gmail.com,TERCERA,284 / 31-01-2019
JULIE ZAMBRANO ASESORIAS Y CAPACITACIÓN INMOBILIARIA E.I.R.L.,,76.775.124-9,"Julie Zambrano Alvarado Calle Santo Domingo N° 748, Depto N° 1705",Santiago,232478497 / 933851274 / 957118175,julisocial@icloud.com,ep.isocialchile@gmail.com,TERCERA,287 / 31-01-2019
"INMOBILIARIA, INSPECCION TECNICA Y GESTOR HABITACIONAL LICANRAY SPA",LICANRAY SPA,76.920.822-4,Roxana Scarlett Kam-Ching Barrios Avda. Viel N° 1556,Santiago,225441140 / 967283389 / 954214248,psatlicanray@gmail.cl,,PRIMERA,646 / 13-03-2019
ASESORIAS HABITACIONALES NEWEN LIMITADA,NEWEN LTDA.,76.861.218-8,Silvia Lezcano Bordones Calle Quito N°8557,La Cisterna,968158371,egis.newen@gmail.com,,TERCERA,689 / 20-03-2019
GRUPO ISANTA TELECOMUNICACIONES SPA,,76.505.533-4,"Pia Francisca Nuñez Huidobro Los Cancilleres N° 1670, Depto 24-E",Maipu,95445972 / 40741040,grupoisanta@gmail.com,gerencia@grupoisanta.cl,TERCERA,687 / 20-03-2019
PSAT ALQUIHUE LIMITADA,ALQUIHUE LTDA.,76.944.634-6,Cristopher Aedo Maureira Ramón Carnicer N°65 Oficina 4,Providencia,996554119,psat.alquihue@gmail.com,caedo.alquihue@gmail.com,TERCERA,688 / 20-03-2019
SIMMER SPA,SIMMER CONSULTORA SPA,76.923.062-9,"Katherin Suarez Quiroz Av. Irarrázaval N° 2821, Oficina 513-A",Ñuñoa,966153839,contacto@simmer.cl,,TERCERA,708 / 21-03-2019
GESTION INMOBILIARIA CUMBRES DEL NORTE LIMITADA,CUMBRES DEL NORTE LTDA.,76.079.461-9,Francy Javier Rojas Diaz Serrano N°63 Oficina 71,Santiago,222453453 / 928737472,gestioncumbresdelnorte@gmail.com,,PRIMERA,1047 / 17-04-2019
ENTIDAD PATROCINANTE AVANZA SPA,,76.930.847-4,Silvia Campos Calle Fresia N°2133,Renca,232391915 / 951970513 / 951970516,administracion@avanzaep.cl,social@avanzaep.cl / gerencia@avanzaep.cl,TERCERA,1106 / 17-04-2019
ASESORÍAS E INGENIERÍA ORIGEN SPA,,76.961.875-9,Patricio Valenzuela Campos Hermanos Carrera N°2037 Maipu ; Admini,,98858654 / 963325354,patricio.valenzuelaroym@gmail.com,administracion@ingenieriaorigen.cl / patricio.valenzuela@ingenieriaorigen.cl,TERCERA,1406 / 28-05-2019
GESTORA MAS HOGAR LIMITADA,MASHOGAR LTDA.,76.360.076-9,"Jorge Niemann Figari Calle Marchant Pereira N° 201, Piso 4 (Todo El Piso Corresponde A La Dirección Y Oficina Indicada)",Providencia,227571800 / 227571845,marcelofg@gestoramashogar.cl,,PRIMERA,2723 / 10-09-2018
COMUNIDAD ROSIL SPA,,76.953.793-7,Adriana Pilar Toro Silva Calle Islandia N°861,San Miguel,985699455 / 984687434,comunidadrosilspa@gmail.com,,PRIMERA,1436 / 31-05-2019
PROYECTOS DE ARQUITECTURA COLABORA SPA,,76.979.052-7,Karina Vallejos Avda. Domingo Santa Maria N°2236,Independencia,512495161 / 964459360,epcolaboraspa@gmail.com,kvallejos@colaboracionhumana.cl,PRIMERA,1493 / 06-06-2019
ASESORIAS PROGRESO LIMITADA,,77.009.404-6,Pablo Arenas Olmos Los Ceramistas N° 1442,Puente Alto,932733838,rodres22@hotmail.com,,TERCERA,2101 / 19-08-2019
CONSULTORA HABITACIONAL MONDIE LIMITADA,MONDIE LTDA.,76.986.944-1,Lorena Diena Arenas Ahumada N°13 Of 915,Santiago,975699128,contacto.mondie@gmail.com,,PRIMERA,2763 / 28-11-2019
DE LA RIVERA ENTIDAD PATROCINANTE SPA,,77.044.623-6,Stephanie Montecinos Antonio Bellet N°193 Of 810,Providencia,224376739 / 989889559,smontecinos@delarivera-ep.cl,,SEGUNDA,2825 / 28-11-2019
COOPERATIVA DE TRABAJO KINCHA,,65.169.361-6,"Maria Jose Barros De La Paz Av. Grecia N°1533, Block 5, Depto 22 C",Ñuñoa,982291402,cooperativa.kincha@gmail.com,,TERCERA,184 / 17-01-2020
GESTION Y PROYECTOS B2 LIMITADA,B2 LTDA.,77.088.101-3,"Rodrigo Berger Recart Estado N°115, Oficina 307",Santiago,226332284,gestionyproyectosb2@gmail.com,rodrigo@bergeryberger.cl,PRIMERA,279 / 10-02-2020
PROACTIVA EP SPA,PROACTIVA EP SPA,77.075.041-5,"Ximena Leon Gaule Av. Ossa # 180, Depto. B",Ñuñoa,352292413,xleon@proactiva-chile.cl,,TERCERA,366 / 24-02-2020
AYÜN RUKA SPA,AYÜN RUKA,77.076.961-2,"Veronica Avalos Orellana Jose Miguel De La Barra N°480, Depto. 301",Santiago,226059289 / 965695167,ayunrukaspa@gmail.com,,TERCERA,373 / 25-02-2020
GESTOR SOCIAL SPA,,77.019.436-9,Erika Lira Gonzalez Calle Litoral N°6225,Peñalolén,992977116,g.social.spa@gmail.com,,TERCERA,372 / 25-02-2020
PROYECTOS INMOBILIARIOS LUMINOSOLAR LIMITADA,LUMINOSOLAR LTDA.,76.943.066-0,Humberto Flores Mateluna Gonzalo Carrasco Garcia Islandia N°871,San Miguel,939455202,luminosolarltda@gmail.com,gcarrasco678@gmail.com,PRIMERA,368 / 25-02-2020
"INMOBILIARIA, INSPECCION TECNICA Y GESTOR HABITACIONAL PUYEHUE SPA",PUYEHUE SPA,76.969.353-K,Roxana Scarlett Kam-Ching Barrios Avda. Viel N° 1556,Santiago,967283389 / 225441140 / 954214248,roxanakamchings@gmail.com,,PRIMERA,475 / 10-03-2020
PSAT AVANZA SPA,,77.054.477-7,Carolina Ibaceta Calle Los Cancilleres N°1670 Depto. E-24,Maipu,942896918,psatavanza.contacto@gmail.com,carolaibaceta@gmail.com,TERCERA,476 / 10-03-2020
ENTIDAD PATROCINANTE UNION LIMITADA,,77.088.268-0,"Nicolas Tamayo Avda. Principe De Gales N°5921, Of 608",La Reina,233399483,contacto@unionep.cl,,PRIMERA,964 / 20-07-2020
INMOBILIARIA SUCASA II LIMITADA,,76.834.165-6,"Pablo Ivan Luna Gomez Amunategui N°86, Oficina 407-B",Santiago,229294483 / 229294482 / 974209932,sucasa@hotmail.cl,,TERCERA,998 / 08-08-2020
NICOLE ANDREA ZAMORA CORTES,,16.776.596-3,"Nicole Zamora Cortes Calle París N° 834, Oficina N° 307",Santiago,232270238,nyc.contable@gmail.com,,TERCERA,1005 / 06-08-2020
PROGRESO Y GESTION SOCIAL SPA,,77.125.786-0,"Friney Venegas Venegas Ahumada N°312, Of 326",Santiago,232565662 / 995797570 / 988082296,friney@gmail.com,f.venegas.proges@gmail.com / m.galaz.proges@gmail.com,TERCERA,1222 / 02-10-2020
GESTIÓN DE PROYECTOS INMOBILIARIOS SOCIALES JCS LIMITADA,,77.063.653-1,Celinda Miranda Huerfanos N°714 Oficina 103,Santiago,941317746 / 951683889,casaintegra@gmail.com,sergioschneider.abogados@gmail.com,TERCERA,111 / 03-02-2021
ENTIDAD PATROCINANTE COBARRIO SPA,,77.220.692-5,"Maria Jose Carrasco Martinez Almirante Pastene N°185, Oficina 310",Providencia,232942688 / 961709374 / 939496907,josecatinez@gmail.com,psat.cobarrio@gmail.com / cobarrio.mcarrasco@gmail.com,TERCERA,223 / 27-02-2021
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL Y PRESTADORA DE SERVICIOS DE ASISTENCIA TECNICA Y GESTIÓN ACROPOLIS SPA,PSAT ACROPOLIS,77.235.519-K,Lionel Rubio Panama 9289,La Florida,933282870 / 942071995 / 994726149,psat.acropolis@gmail.com,,TERCERA,453 / 26-04-2021
PROACTIVA VIVIENDA SPA,,77.075.039-3,Catalina Furet Villaroel Avda. Ossa N°180 Depto. B,Ñuñoa,23420612,administracion@proactiva-chile.cl,,TERCERA,326 / 30-03-2021
ENTIDAD ORGANIZADORA Y CONSULTORA HABITACIONAL MIRAFLORES SPA,,77.222.634-9,"Camila Ortiz Diagonal Paraguay N°481, Of. 38",Santiago,979708335 / 229297824,ameyer@constructoracasahogar.cl,ameyer.arq@gmail.com / miraflores@constructoracasahogar.cl,TERCERA,349 / 06-04-2021
SUCAPRO GESTION INMOBILIARIA SPA,,77.259.788-6,"Pablo Tomas Wichmann Av. Apoquindo N°6410, Of 404",Las Condes,997427148,rretamal@sucapro.cl,contacto@sucapro.cl / rparedes@sucapro.cl,TERCERA,403 / 16-04-2021
ALICANTE SPA,,76.728.113-7,"Guillermo Rocamora Araya Avda. Providencia N°1208, Of.210 .",Providencia,962181245,contacto@alicantespa.cl,g.rocamora@alicantespa.cl,TERCERA,568 / 17-05-2021
EP DUNAMIS SPA,EGIS DUNAMIS SPA,77.280.619-1,"Fabian Barahona Diaz Avda. Nueva Providencia N° 1881, Of. 520",Providencia,227532604 / 996490513,fbd.dunamis@gmail.com,,SEGUNDA,558 / 17-05-2021
"CIUDAD DE BOLSILLO PLANIFICACIÓN, DISEÑO URBANO Y GESTIÓN INMOBILIARIA SpA",,76.834.025-0,"Pablo Fuentes Agustinas N°1022, Of. 316",Santiago,999917797,hola@ciudaddebolsillo.cl,ricardo@ciudadbolsillo.cl / nataly@ciudaddebolsillo.cl,TERCERA,610 / 25-05-2021
ENTIDAD DE GESTIÓN SOCIAL ENSENADA LIMITADA,PSAT ENSENADA LIMITADA,77.092.339-5,Bruno Calderon Calle General Freire N°440,La Cisterna,935716751,psat.egis.ensenada@gmail.com,,TERCERA,656 / 04-06-2021
"ASESORÍAS, INMOBILIARIA SOCIAL, CONSTRUCCIÓN E INVERSIONES LA MATRIZ SPA",LA MATRIZ SPA,77.181.275-9,Juan Fco. Quezada Barcenas Pasaje Uspallata N°6904,La Granja,975668835 / 998281715 / 225257001,lamatrizspa@gmail.com,,TERCERA,574 / 17-05-2021
CONSULTORÍA SEBASTIÁN ANDRES HERMOSILLA VARELA E.I.R.L.,SYD SOCIAL E.I.R.L.,77.255.901-1,Sebastian Hermosilla Camino Maipo-Viluco N°1805 Loteo 77,Buin,935431360 / 991413511,sydsocial7@gmail.com,sebastian.hermosilla02@gmail.com,TERCERA,808 / 08-07-2021
