region,razon_social,rut,contacto_y_direccion,telefonos,correos,categoria,resolucion
VALPARAÍSO,PAOLA URRUTIA EIRL,76.931.385-0,PAOLA URRUTIA BLANCO 1215 OF. 501 VALPARAISO,996435724,lic.paola.urrutia@gmail.com,TERCERA,407 / 24-03-2021
VALPARAÍSO,PATRIMONIO SOCIAL SPA,77.997.665-3,MARGARITA LEIVA REÑACA NORTE N°265 OF. 510 VIÑA DEL MAR,988374374,margaraleivaarredondo@gmail.com,TERCERA,135 / 18-02-2026
VALPARAÍSO,P&B CONSULTORA E INMOBILIARIA SPA,77.549.908-7,P&B CONSULTORA INMOBILIARIA PARCELA N°39-A EL PORVENIR LLAY LLAY,952940674,pbconsultorainmobiliaria@gmail.com,TERCERA,2561 / 21-10-2022
VALPARAÍSO,PLAN PROYECTA LIMITADA,76.920.142-4,MARCELO OLIVA CASTILLO PASAJE LA PAZ N°1333 VIÑA DEL MAR,994056456 944671083,planproyecta@gmail.com,PRIMERA,918 / 15-04-2020
VALPARAÍSO,PRISAAT CONSULTORES SPA,77.287.285-2,PRISCILA SAAVEDRA / ALEXIS CORTES CALLE LOS TREBOLES N°210 CASA 53 VILLA ALEMANA,987062302,prisaat.consultores.adm@gmail.com,TERCERA,663 / 12-05-2021
VALPARAÍSO,PROVECSO SPA,76.063.820-k,"VÍCTOR NÚÑEZ ROJAS URRIOLA N°332, OFICINA 21 VALPARAÍSO",56949697699,contacto@provecso.cl,PRIMERA,1567 / 07-06-2018
VALPARAÍSO,PROYECTA 2 SPA,76.538.926-7,CLAUDIO ASTORGA BRAVO CONDELL N°1190 OF. 67 VALPARAISO,(32) 2597383 977627477,contacto@proyecta2.cl / claudioastorga@proyecta2.cl,TERCERA,1700 / 20-06-2018
VALPARAÍSO,PSAT INTEGRA SPA,76.648.633-9,JORGE IGNACIO GAMBOA SUÁREZ AV. CON CON REÑACA N°4000 OF.104 CON CON,56232451283 56 9 8742 6765 6 989721218,psat.integra@gmail.com,TERCERA,204 / 23-02-2023
VALPARAÍSO,QUEIROLO CRUCHAGA LIMITADA,76.668.501-3,FERNANDO QUEIROLO ORELLANA AVENIDA BAQUEDANO N°1430 EL TABO,56936562479 56944215965,fqueirolo@gestionql.cl / mmundigo@gestionql.cl,TERCERA,335 / 27-04-2026
VALPARAÍSO,QUINTA CORDILLERA LTDA,76.865.039-k,"DIEGO BORT BORT CALLE O HIGGINS N°335, OF 3 QUILLOTA (9)",91785441,quintacordilleraspa@gmail.com,TERCERA,2306 / 01-08-2018
VALPARAÍSO,REFUGIO TERRACOTA SPA,77.976.401-K,"MIRNA VENEGAS OLIVARES AV. UNIVERSAL N°892, CURAUMA VALPARAISO",993460323,refugioterracota@gmail.com,TERCERA,702 / 16-06-2025
VALPARAÍSO,RENACER SPA,77.619.425-5,LIDIA GUERRA AGUILERA ESMERALDA N°1124 PISO 3 OF. N°3 VALPARAÍSO,56950079593,renacer.nuevaesperanza24@gmail.com,TERCERA,2628 / 27-10-2022
VALPARAÍSO,SEREY Y OTROS ASOCIADOS LIMITADA,76.026.827-5,CRISTIAN SEREY GAGGERO PLAZA JUSTICIA N°45 OF. 402 Y 404 EDIF. INTEROCEANICA VALPARAISO,224760850 56966787040,crear@grupocrear.cl,PRIMERA,1297 / 22-07-2020
VALPARAÍSO,SERV. PROF.DE CONS. Y ASES. CARLOS CARRILLO T. LTDA.,76.021.000-5,CARLOS CARRILLO TORRES TORO MAZOTE N°1077 SAN FELIPE,342510540,administracion@ccct.cl / ccarrillo@ccct.cl,PRIMERA,1345 / 11-05-2017
VALPARAÍSO,"SERV. PROFESIONALES, ASIST.DE LA CONSTRUCCIÓN LTDA. / ASESORÍAS LANFORD LTDA.",76.588.510-8,"KARLA LANDAETA SAÁ CALLE HUITO N°565, OFICINA 6 VALPARAÍSO",(32) 2237163 9- 98123342,klanfor@gmail.com,SEGUNDA,1108 / 20-04-2017
VALPARAÍSO,SOC. CONSULTORA CUATRO EME LIMITADA,76.438.253-6,ULISES MORALES CALLE SERRANO 121 OF. 1 LA LIGUA,983170511 975392125,consultora4m@gmail.com,TERCERA,1140 / 23-04-2018
VALPARAÍSO,SOCIEDAD CONSULTORA E INMOBILIARIA MARGA MARGA SPA,77.583.076-K,"DAURA GONZALEZ MELLADO ANDRES BELLO N°488 DEPTO 3, OF. C QUILPUE administració",323614107 945714241,n@epmargamarga.cl,TERCERA,2563 / 21-10-2022
VALPARAÍSO,SOCIEDAD DE ASESORÍAS RUKA PEWMA LIMITADA,76.887.130-2,CARINA CID VIDAL BELLAVISTA N°280 VIÑA DEL MAR (32) 2219074,,rukapewma@rukapewma.cl,PRIMERA,1284 / 07-05-2018
VALPARAÍSO,SOCIEDAD DE MEJORAMIENTO DE VIVIENDA AGAL SPA,76.977.424-6,LESLIE ARANCIBIA BALMACEDA N°440 LLAY LLAY,999595208 982789323 983757465,psatagalspa@gmail.com,TERCERA,1411 / 17-05-2019
VALPARAÍSO,SOCIEDAD PROFESIONALES DE ARQUITECTURA BORDE URBANO LTDA.,76.383.592-8,MARCELO ARAYA CONDELL N° 1176 OF.72 VALPARAÍSO,56920772251,contacto@bordeurbano.cl,PRIMERA,2420 / 11-08-2017
VALPARAÍSO,SOCIEDAD DE PROFESIONALES ARQUITECTOS SOLAN SPA,77.783.755-9,JORGE SOTO MUÑOZ EUSEBIO LILLO Nº 409 OF. 214 VALPARAÍSO,932324408,sociedad.solan@gmail.com,TERCERA,945 / 10-10-2024
VALPARAÍSO,UNO A UNO SPA,78.141.374-7,PATRICIA MONSALVE LEÓN PRAT 865 EDIFICIO ARAUCANIA OF 34 VALPARAISO,933025827,soledadmonsalveleon@gmail.com,TERCERA,1300 / 18-11-2025
VALPARAÍSO,VALENTINA DAVILA URREJOLA,15.736.793-6,VALENTINA DAVILA URREJOLA AV. ECUADOR N°517 VALPARAISO,56992495192,valentinadavilaurrejola@gmail.com,TERCERA,1515 / 05-08-2020
VALPARAÍSO,VALENZUELA Y ENSEMEYER LTDA.,76.765.080-9,GERMAN VALENZUELA CALLE ESMERALDA N°637 LOS ANDES (34)2402807,,consultora@vye.cl,TERCERA,2513 / 16-08-2018
VALPARAÍSO,VALPARAISO SPA,77.077.213-3,LUIS GUERRERO SANDRA LAMILLA BLANCO N°625 OF.52 VALPARAISO,56993426644 569400702198,slamilla@valparaisospa.cl / lguerrero@valparaisospa.cl,PRIMERA,479 / 17-02-2020
VALPARAÍSO,VÍNCULO SPA,78.009.069-3,PATRICIO ESTEBAN TRIVIÑO IBACACHE AV. SANTA TERESA 1422 LOS ANDES,994514857,contacto@vinculo.cl,TERCERA,813 / 10-07-2025
METROPOLITANA,BERGER y BERGER LIMITADA/BERGER Y BERGER LTDA,77.171.220-7,PAULINA BERGER RECART ESTADO N°115 OFICINA 307 SANTIAGO,226332284 226332284 226332284,paulina@bergeryberger.cl / rodrigo@bergeryberger.cl,PRIMERA,2054 / 04-07-2018
METROPOLITANA,COOPERATIVA ABIERTA DE VIVIENDA CONAVICOOP/CONAVICOOP,70.020.030-2,ANDRES NUÑEZ ROCO LONDRES 94 SANTIAGO,600 586 5500 227140198 227140201,legal@conavicoop.cl / rbonilla@conavicoop.cl,PRIMERA,2754 / 10-09-2018
METROPOLITANA,ASESORIAS CON VIVIENDA LIMITADA/CONVIVIENDA LTDA.,96.786.070-0,CONAVICOOP LONDRES 94 SANTIAGO,227140198 998440652 227140201,scgalvez@conavicoop.cl / icano@conservicios.cl / rbonilla@conavicoop.cl,PRIMERA,2753 / 10-09-2018
METROPOLITANA,CORPORACIÓN DESARROLLO URBANO NUEVO SAN JOAQUIN,65.012.860-5,"LINA ISOLDA ZAMORANO RAMÍREZ RAMÓN SUBERCASEAUX 1268, OFICINA 407 SAN MIGUEL",224948301 976495176,nuevosanjoaquin@yahoo.com / lzamorano@cdu.cl,PRIMERA,1261 / 20-04-2018
METROPOLITANA,GESTIÓN INMOBILIARIA EL CANELO LIMITADA,76.021.386-1,"DOMINGO FERNANDO VALENZUELA DURRET AVDA. AMERICO VESPUCIO SUR N°700, PISO 1 Y 7 LAS CONDES",225054208 225054071 225054160,dvd@cbiobio.cl / dvalenzuela@cbiobio.cl / nacevedo@cbiobio.cl,PRIMERA,936 / 08-03-2018
METROPOLITANA,EME.PE.ELE. CONSTRUCTORA LIMITADA/EMEPEELE LTDA.,76.002.363-9,TOMAS CARRASCO ULLOA AV. GRECIA N° 5720 PEÑALOLÉN,222728884 952554069 958678972,mpl.egis@gmail.com / paulaormeno.urbina@gmail.com / danielarv.ts@gmail.com,TERCERA,1226 / 30-04-2019
METROPOLITANA,FUNDACIÓN DE VIVIENDAS HPH CHILE,65.553.800-3,SCARLETT LIZANA FERNANDEZ GRAL. BUSTAMANTE N°26 PISO 7 PROVIDENCIA,983833854 973384516,suzana@hphchile.cl / dlepe@hphchile.cl,PRIMERA,1631 / 29-05-2018
METROPOLITANA,FUNDACION UN TECHO PARA CHILE/UN TECHO PARA MI PAÍS,65.533.130-1,JUAN CRISTÓBAL BEYTÍA REYES AVENIDA DEPARTAMENTAL Nº 440 SAN JOAQUÍN,228387340-44 984187985 977927300,capellania@techo.org,PRIMERA,255 / 02-02-2017
METROPOLITANA,MUNICIPALIDAD DE LA FLORIDA,69.070.700-4,MARCELA JOPIA LISSETTE BRIONES AV. VICUÑA MACKENNA Nº 10.777 LA FLORIDA,225054069 225054070,mlopez@laflorida.cl / dptoviviendalaflorida@gmail.com,ÚNICA,2265 / 24-07-2018
METROPOLITANA,MUNICIPALIDAD DE LO ESPEJO,69.255.100-1,FELIPE ORTEGA NUÑEZ AVENIDA CENTRAL CARDENAL RAÚL HENRÍQUEZ N° 8321 LO ESPEJO,985085896 224856219 224856217,vivienda@loespejo.cl / fortega@loespejo.cl / alcaldia@loespejo.cl,ÚNICA,3360 / 07-12-2017
METROPOLITANA,MUNICIPALIDAD DE PEÑALOLEN,69.254.000-K,SARA CAMPOS VERONICA SOTO AVDA. GRECIA Nº 8299 PEÑALOLÉN,974301948,atencionvivienda@penalolen.cl / scampos@penalolen.cl / vsoto@penalolen.cl,ÚNICA,1632 / 29-05-2018
METROPOLITANA,MUNICIPALIDAD DE PUENTE ALTO,69.072.100-7,ISRAEL FARÍAS CALLE JOSÉ MANUEL IRRARAZAVAL Nº 185 PUENTE ALTO,227315317 227315318 227315308,marisol.ibanez@mpuentealto.cl / israel.farias@mpuentealto.cl / cristian.berrios@mpuentealto.cl,ÚNICA,2555 / 04-09-2017
METROPOLITANA,MUNICIPALIDAD DE RECOLETA,69.254.800-0,"EVELYN VALENZUELA ISABEL SALFATE AVDA. RECOLETA Nº 2774, PISO 2 RECOLETA",92070 9169 22945 7114 229457538,fjadue@recoleta.cl / evalenzuela@recoleta.cl / mosanchez@recoleta.cl,ÚNICA,1919 / 26-06-2018
METROPOLITANA,INMOBILIARIA Y CONSTRUCTORA INSOC LIMITADA/INSOC LTDA.,76.961.330-7,"JOSÉ LUIS ELICER GUTIERREZ CALLE MONEDA Nº 920, DEPTO. 202 SANTIAGO",993203419 226973887 993204409,j.elicer@insoc.cl / a.ibarra@insoc.cl / r.rojas@insoc.cl,PRIMERA,1259 / 20-04-2018
METROPOLITANA,"ORBE, RODOLFO RODRIGO TORRES MIRANDA E.I.R.L/ORBE E.I.R.L.",76.347.350-3,RODOLFO RODRIGO TORRES MIRANDA CALLE ALONSO DE CORDOVA N°2681 DEPTO. 402 VITACURA,23224 2220 23224 2221 998864396,orbeeirl@yahoo.es,TERCERA,1403 / 07-05-2018
METROPOLITANA,ASESORÍAS GESTIÓN VIVIENDA LIMITADA,76.003.928-4,"PILAR GOYCOOLEA FERRER CALLE ROMÁN DÍAZ N° 221, CASA B PROVIDENCIA",223358006 991393194 96848 3233,francisco@urbanismosocial.cl / paola@urbanismosocial.cl / pilar@urbanismosocial.cl,PRIMERA,1253 / 20-04-2018
METROPOLITANA,GESTIÓN INMOBILIARIA CASABLANCA SPA,76.017.195-6,ERIC MANUEL OYANEDER HIDALGO CALLE LAS BRISAS N° 213 LA CISTERNA,222125943 979886862,silvia.oyander@egiscasablanca.cl / p.jaracasablanca@gmail.com / ericoyaneder@gmail.com,PRIMERA,3100 / 23-10-2018
METROPOLITANA,GESTIONES Y SOLUCIONES HABITACIONALES E INMOBILIARIA LIMITADA /INMOBILIARIA SOLHABIT LTDA,76.012.162-2,PAULINA DEL ROSARIO RAMÍREZ FARÍAS CALLE SERRANO Nº 319 MELIPILLA,228311319 90237371 228326541,solhabit@hotmail.com,TERCERA,933 / 08-03-2018
METROPOLITANA,EMILE STRAUB Y COMPAÑÍA LIMITADA/STRAUB CONSULTORA LTDA.,76.614.810-7,EMILE SEBASTIÁN STRAUB BARROS DIAGONAL ORIENTE N°1.490 PROVIDENCIA,98185490 94850347,emilestraubbarros@gmail.com / straub.consultora@gmail.com / danielstraub@gmail.com,PRIMERA,2264 / 24-07-2018
METROPOLITANA,TECNOINGENIERIA SPA,77.877.320-1,"YASNA ALEJANDRA HERNÁNDEZ POBLETE GENERAL BULNES Nº 139, OFICINA N° 64 SANTIAGO",966993031 998749594 226968675,yhernandez@tecnoingenieria.cl / tecnoingenieria@tecnoingenieria.cl / vflores@tecnoingenieria.cl,PRIMERA,3255 / 07-11-2018
METROPOLITANA,CONSULTORA V Y S LIMITADA/VEYESE CONSULTORES LTDA.,76.117.600-5,"ROSSANA JIMENA VICENTELO LAY PRESIDENTE JUAN ANTONIO RIOS N°33, DEPTO. 01 SANTIAGO",226331228 226326454 99100 6510,consultoraveyese@gmail.com / rossanavicentelo@gmail.com,SEGUNDA,2756 / 10-09-2018
METROPOLITANA,ENTIDAD ORGANIZADORA Y CONSULTORA HABITACIONAL NUEVA VIVIENDA SPA/NUEVA VIVIENDA SPA,76.625.360-1,"MARCO RODRIGO PACHECO CISTERNA CALLE SAN ANTONIO N° 19, OFICINA N° 1805 SANTIAGO",22247 1100 22247 1100 22247 1100,contacto@nuevavivienda.cl,PRIMERA,1836 / 15-06-2017
METROPOLITANA,SEREY Y OTROS ASOCIADOS LIMITADA/CREAR ASOCIADOS,76.026.827-5,"ESTEBAN SEREY - OFICINA CENTRAL CALLE NUEVA YORK N° 09, OF. 1101, PISO 11 SANTIAGO",976029680 223899500 991055856,crear@grupocrear.cl / esteban.serey@grupocrear.cl,PRIMERA,2129 / 17-07-2018
METROPOLITANA,MUNICIPALIDAD DE CERRO NAVIA,69.254.200-2,CAROLINA BEROIZ LILLO CALLE DEL CONSISTORIAL N° 6645 CERRO NAVIA,942048145 222384184 99251 3107,mario.cancino@cerronavia.cl / carolina.beroiz@cerronavia.cl / consultas.vivienda@cerronavia.cl,ÚNICA,2363 / 10-08-2017
METROPOLITANA,MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,69.254.900-7,MARIANA SILVA AV. PRESIDENTE SALVADOR ALLENDE N°2029 PEDRO AGUIRRE CERDA,223965074 223965040,egis.coordinadora@pedroaguirrecerda.cl / administrativovivienda@pedroaguirrecerda.cl,ÚNICA,3493 / 26-12-2017
METROPOLITANA,EPS AGENCIA HABITACIONAL LIMITADA,76.730.530-3,"CLAUDIA ALEJANDRA NASH LAVÍN CALLE SAN SEBASTIÁN Nº 2807, OF.213 LAS CONDES",229014753,cnash@nash.cl / patricia@nash.cl,PRIMERA,2357 / 10-08-2017
METROPOLITANA,CENTRO DE ORIENTACION HABITACIONAL CENOHABIT LIMITADA/CENOHABIT LIMITADA,50.278.660-1,"NICOLAS FARÍAS CHACÓN AHUMADA N°236, OFICINA 513 SANTIAGO",232243952 942510918,rpena@cenohabit.cl / contacto@cenohabit.cl,TERCERA,2914 / 05-10-2018
METROPOLITANA,PEHUÉN S.A.,76.893.260-3,"JORGE ENOC ROZAS RAMÍREZ PASEO ESTADO N° 115, OF Nº 1208. SANTIAGO",975887368,pehuen@pehuensa.cl / jrozas@pehuensa.cl / jrozas@pehuenes.cl,PRIMERA,932 / 08-03-2018
METROPOLITANA,MUNICIPALIDAD DE LA PINTANA,69.253.800-5,MILITZA VITTARI URRIBARI CALLE BALDOMERO LILLO Nº 1966 LA PINTANA,223896350 223896351,mvitali@pintana.cl / mcfuentes@pintana.cl,ÚNICA,1842 / 20-06-2018
METROPOLITANA,ZETA S.A.,96.520.170-K,"ITALO ELISEO PATRICIO NUÑEZ NUÑEZ CALLE SERRANO Nº 14, OF. 304 SANTIAGO",992344473 226335072,eduardo.nunez@zeta.cl / tatiana.baro@zeta.cl / apadilla@zeta.cl,TERCERA,2559 / 04-09-2017
METROPOLITANA,MUNICIPALIDAD DE COLINA,69.071.500-7,FERANANDA ALFARO PALOMO AVENIDA COLINA Nª 700 COLINA,227073303 227073302 227073304,Isabel.valenzuela@colina.cl / alcaldia@colina.cl,ÚNICA,1837 / 15-06-2017
METROPOLITANA,MUNICIPALIDAD DE INDEPENDENCIA,69.255.500-7,MARIA PAZ ROSS GAUNA AVENIDA INDEPENDENCIA N° 753 INDEPENDENCIA,223631050,mpross@independencia.cl / fpujado@independencia.cl,ÚNICA,2135 / 17-07-2017
METROPOLITANA,SOCIEDAD DE SERVICIOS PROFESIONALES PROYECTA ARQUITECTOS CONSULTORES LIMITADA/PROYECTA ARQUITECTOS LTDA.,76.879.530-4,"MARCO ANTONIO ROJAS CAAMAÑO AV. LARRAÍN N° 6642, OFICINA N° 005 LA REINA",968472303 222604534,egisproyecta@gmail.com,SEGUNDA,717 / 21-02-2017
METROPOLITANA,"GESTIÓN, ASESORÍA Y CONSTRUCCIÓN SPA/GACSA SPA",76.685.250-5,LUIS GONZALO PATRICIO ALEGRÍA MARTÍNEZ GENERAL FREIRE N°440 LA CISTERNA,996447849,consultor@gacsa.cl / gacsaspa@gmail.com,TERCERA,2989 / 24-10-2017
METROPOLITANA,MUNICIPALIDAD DE CURACAVI,69.073.900-3,KAREN ADASME SANTIBAÑEZ AV. AMBROSIO O`HIGGINS Nº 1305 CURACAVÍ,222992178,atencionvivienda@municipalidadcuracavi.cl / kadasme@municipalidadcuracavi.cl,ÚNICA,2852 / 13-10-2017
METROPOLITANA,CONSULTORA ROIG LIMITADA/CONSULTORA ROIG LTDA.,76.033.036-1,JESSICA IVONNE SARMIENTO ULLOA AV. FRANCISCO BILBAO Nº 656 PEÑAFLOR,228129041 94549254 985962492,consultoraroigltda@gmail.com / info@consultoraroig.cl,PRIMERA,1461 / 15-05-2017
METROPOLITANA,MUNICIPALIDAD DE MAIPU,69.070.900-7,KAREN AVALOS CORNEJO CALLE ALBERTO LLONA N° 1843/AV. CINCO DE ABRIL Nº 0260 MAIPÚ,226776077 226776799 224028477,kavalos@maipu.cl / mherrera@maipu.cl / viviendamaipu@gmail.com,ÚNICA,1648 / 31-05-2018
METROPOLITANA,RODRIGO ALEJANDRO HENRIQUEZ DIAZ,12.108.700-6,"RODRIGO ALEJANDRO HENRIQUEZ DIAZ CALLE COMPAÑÍA DE JESÚS N° 2540, OF. 101 SANTIAGO",226825253,rodhex.arq@gmail.com / rhd.psat@gmail.com,TERCERA,2554 / 04-09-2017
METROPOLITANA,MUNICIPALIDAD DE EL BOSQUE,69.255.300-4,EDUARDO URRESTARZU ROJAS JAVIERA CARRERA N°736 EL BOSQUE,228299061 228299062 228299063,magaly.canas@municipalidadelbosque.cl / nataly.figueroa@municipalidadelbosque.cl,ÚNICA,2059 / 04-07-2018
METROPOLITANA,MUNICIPALIDAD DE QUILICURA,69.071.300-4,PAULINA ALLENDE ACEVEDO GUARDIAMARINA RIQUELME Nº 489 QUILICURA,22366849 22366849 22366849,p.allende@quilicura.cl,ÚNICA,291 / 26-01-2018
METROPOLITANA,INMOBILIARIA 3L SPA,77.730.720-7,"ANDRES ALEJANDRO LOWENER MAYER￾RECHNITZ SUECIA 0155,OF 604 PROVIDENCIA",998988913,ep3l@3lsf.cl,PRIMERA,3070 / 31-10-2017
METROPOLITANA,MUNICIPALIDAD DE MACUL,69.253.700-9,"CLAUDIA MENARES VALENZUELA AV. QUILIN N° 3248, 3° PISO MACUL",228739261 228739259,cmenares@munimacul.cl / deptoviviendamacul@gmail.com / vivienda@munimacul.cl,ÚNICA,694 / 20-02-2018
METROPOLITANA,MUNICIPALIDAD DE SAN PEDRO,69.073.100-2,NICOLE SANTANDER GONZALEZ AVENIDA HERMOSILLA N° 11 SAN PEDRO (anexo 162),228405961 / 993277755,cvaldes@munisanpedro.cl / g.aracena@munisanpedro.cl,ÚNICA,880 / 02-03-2017
METROPOLITANA,XIMENA ALEJANDRA PAVEZ REVECO GESTIÓN INMOBILIARIA E.I.R.L/RODAXI GESTIÓN INMOBILIARIA E.I.R.L.,76.026.992-1,"XIMENA PAVEZ REVECO CALLE SAN JOSÉ N° 5.641, P,13. GRAN. AV. SAN MIGUEL",966569929 966569927,rodaxi.ximena.pavez@gmail.com / ximena.pavez.reveco@gmail.com,PRIMERA,3272 / 28-11-2017
METROPOLITANA,MUNICIPALIDAD DE LA REINA,69.070.600-8,ANDRES SALGADO HENRIQUEZ AV. MATEO TORO Y ZAMBRANO N°1.474 LA REINA,225927279 988629762 225927371,asalgado@mlareina.cl / infovivienda@mlareina.cl,ÚNICA,1393 / 07-05-2018
METROPOLITANA,CONSULTORA ARTURO FIABANE VASQUEZ E.I.R.L./DOMUS E.I.R.L.,76.038.603-0,"ARTURO ALEJANDRO FIABANE VÁSQUEZ CALLE SAN ANTONIO N° 31, OF. 508 SANTIAGO",226332820 988356441,info.domus.eirl@gmail.com / domus.eirl@gmail.com,TERCERA,1947 / 03-07-2017
METROPOLITANA,MUNICIPALIDAD DE MELIPILLA,69.072.900-8,TAMARA PINO WASTAVINO CALLE SILVA CHAVEZ N°480 MELIPILLA,229027301 229027296 968530971,jennifer.vasquez@munimelipilla.cl,ÚNICA,1835 / 15-06-2017
METROPOLITANA,BERTA MARGARITA VALDEVENEGRO PLAZA,6.891.712-3,BERTA MARGARITA VALDENEGRO PLAZA CALLE VALDES N°613 MELIPILLA,977088855,egis.bv@gmail.com / bvaldenegrop53@gmail.com,TERCERA,805 / 25-03-2019
METROPOLITANA,FUENTES & SHAE CONSULTORES LIMITADA/F Y S CONSULTORES LTDA.,76.028.541-2,"VANESSA LUCÍA FUENTES DE LA HOZ CALLE SERRANO N°73, OFICINA N°910 SANTIAGO",229293362,fysconsultores@gmail.com,TERCERA,3071 / 31-10-2017
METROPOLITANA,MUNICIPALIDAD DE HUECHURABA,69.255.400-0,CLAUDIO DONOSO PEZOA / VALESKA LORCA RUBILAR AV. RECOLETA N° 5315 HUECHURABA,966196906 942557443 227197266- 65,paulina.trivino@huechuraba.cl,ÚNICA,2167 / 19-07-2018
METROPOLITANA,MUNICIPALIDAD DE SAN MIGUEL,69.070.800-0,YANARA JORQUERA VERA AV. JOSÉ MIGUEL CARRERA Nº 3418 SAN MIGUEL,22678 9170 22678 9171,vivienda@sanmiguel.cl / yjorquera@sanmiguel.cl,ÚNICA,2542 / 24-08-2018
METROPOLITANA,SERVICIOS Y ASESORÍAS DESARROLLA SPA/DESARROLLA SPA,76.043.495-7,"JAIME MARAMBIO LABRADOR PASEO BULNES 79, OF. 60 SANTIAGO",942077402 931943371,proyectos@desarrolla.cl / dest.iden@gmail.com / administracion@desarrolla.cl,PRIMERA,2930 / 20-10-2017
METROPOLITANA,INMOBILIARIA ASISTENCIA TÉCNICA Y GESTOR HABITACIONAL MILLALEMU SOCIEDAD ANÓNIMA/MILLALEMU S.A.,76.936.840-K,ROXANA SCARLETT KAM-CHING BARRIOS AVDA. VIEL N° 1556 SANTIAGO,22544 1140 967283389 954214248,roxanakamchings@gmail.com,PRIMERA,3492 / 26-12-2017
METROPOLITANA,ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL CHILE SPA/EGIS CHILE SPA,76.048.179-3,"SERGIO ANTONIO TORO GÓMEZ PASEO HUÉRFANOS Nº 1160, OF. N° 714 SANTIAGO",226710078 997007942,iva.cony31@gmail.com / marycerpa@egischile.cl,TERCERA,2668 / 26-09-2017
METROPOLITANA,SOLEDAD DEL CARMEN ARAOS GARNICA CONSULTORA SOCIAL E.I.R.L./SOCIEDAD CONSULTORA SOCIAL S.C.S. E.I.R.L.,76.049.715-0,"SOLEDAD DEL CARMEN ARAOS GARNICA GRAN AV. JOSE MIGUEL CARRERA Nº 6560, CARACOL LO OVALLE, LOCAL N° 83 LA CISTERNA",228807735 993451820 224016338,tecnico.scs.eirl@gmail.com / scs.eirl@gmail.com / scr.eirl.2@gmail.com,PRIMERA,1242 / 19-04-2018
METROPOLITANA,MUNICIPALIDAD DE BUIN,69.072.500-2,RODRIGO PEREZ LEYTON/JEANETTE ANTINAO CALLE BALMACEDA N°305 BUIN,228219272 95404 9054,yantinao@buin.cl / rperez@buin.cl / maraya@buin.cl,ÚNICA,2764 / 28-11-2019
METROPOLITANA,MUNICIPALIDAD DE ÑUÑOA,69.070.500-1,EVELYN SALGADO AVENIDA IRARRAZAVAL Nº 2434 ÑUÑOA,233222068 233222063 233222069,vivienda@nunoa.cl / asarmiento@nunoa.cl,ÚNICA,2558 / 04-09-2017
METROPOLITANA,CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LIMITADA /CONSTRUCTORA OVAL LTDA,76.048.251-K,OSCAR RODRIGO VALLADARES PLAZA AV. PRESIDENTE RIESCO N° 3316 LAS CONDES,931992358,gguajardo@constructoraoval.cl,PRIMERA,2248 / 31-07-2017
METROPOLITANA,VERDE - AZUL ARQUITECTOS ASOCIADOS LIMITADA/VERDE-AZUL LTDA,76.054.935-5,"FELIPE IGNACIO ARAYA ALLENDE CALLE MARÍN Nº 0114, OF. 201 PROVIDENCIA .",229849950,contacto@verdeazul.cl / c.barreau@verdeazul.cl,PRIMERA,1844 / 20-06-2018
METROPOLITANA,ASESORIAS Y CONSULTORIAS GEA LIMITADA/GEA CONSULTORES,76.977.620-6,DANIELA DONOSO GRUNBERG ELIODORO YAÑEZ N° 2979 OF 710 PROVIDENCIA,222324245 990893408,info@consultoragea.cl / daniela@consultoragea.cl,PRIMERA,2851 / 13-10-2017
METROPOLITANA,MUNICIPALIDAD DE LA GRANJA,69.072.400-6,"LESLIE ZARATE MEZA AV. AMERICO VESPUCIO N° 002, ENTRADA POR CALLE EL CONSISTORIAL LA GRANJA",225503759 38313829,lzarate.social@gmail.com / viviendalagranja@gmail.com,ÚNICA,2247 / 31-07-2017
METROPOLITANA,ARQUITECTURA Y CONSTRUCCIÓN ALEGRIA OYARZÚN LTDA./EGIS ALEGRIA LTDA,76.064.031-K,FERNANDO OYARZUN VILLA CALLE ALHUE N°39 MAIPU,228480169 998747007 9657720259,egis.alegria@gmail.com,PRIMERA,1857 / 20-06-2018
METROPOLITANA,MUNICIPALIDAD DE LO BARNECHEA,69.255.200-8,PAULINA LIZAMA YAÑEZ RAUL LABBE N°13.989 LO BARNECHEA,227573110 227573230,plizama@lobarnechea.cl,ÚNICA,3494 / 26-12-2017
METROPOLITANA,MUNICIPALIDAD DE ESTACION CENTRAL,69.254.300-9,"PAMELA CATALÁN CARES PASAJE LAS AZUCENAS Nº 316, CON AV. 5 DE ABRIL (EN DEPTO. DESARROLLO SOCIAL) ESTACIÓN CENTRAL",991421226,rodrigomarin@ecentral.cl,ÚNICA,2166 / 19-07-2018
METROPOLITANA,"GESTIÓN Y PROYECTOS INMOBILIARIOS, IVÁN GARAY ACUÑA E.I.R.L./GESTION Y PROYECTOS E.I.R.L",76.131.089-5,"IVÁN ANTONIO GARAY ACUÑA CALLE HÉCTOR BOCARDO N° 1827, DEPTO D INDEPENDENCIA",227379186,contacto@gypinmobiliarios.cl / igaray@gypinmobiliarios.cl,SEGUNDA,2134 / 17-07-2017
